Frame,Timestamp,Track_ID,X1,Y1,X2,Y2,Center_X,Center_Y,Zone,Confidence
135,10.31085312762545,3,111.17656883409813,56.482942050994055,185.11840716258638,179.03261918900301,148,117,Nenhuma,0.8
135,10.31085312762545,10,306.4338333274543,11.465982871731285,346.4882534291943,96.08091436208035,326,53,Nenhuma,0.8
135,10.31085312762545,12,332.31173072463025,202.58546665711282,435.5278536715595,356.7788173416868,383,279,Nenhuma,0.8
135,10.31085312762545,18,191.91453366606277,35.10834330983612,261.08301608227805,163.09380289487092,226,99,Nenhuma,0.8
135,10.31085312762545,20,448.4979939682653,207.8661886367836,556.26753075272,357.48025438292257,502,282,Nenhuma,0.8
135,10.31085312762545,22,443.6401389476701,128.68452674709266,507.6773798510394,242.69992148372572,475,185,Nenhuma,0.8
138,10.539983197128237,1,413.3821521216038,71.58634392641207,487.9338429755288,214.7227521208509,450,143,Nenhuma,0.8
138,10.539983197128237,2,14.809646129148916,90.31225046595948,90.61329763175704,244.19633796713828,52,167,Nenhuma,0.8
138,10.539983197128237,3,110.83378100913147,56.54580192999346,186.47595371840225,181.91376850852248,148,119,Nenhuma,0.8
138,10.539983197128237,10,307.265333664181,11.925285692457209,346.36416536670424,94.68639791125763,326,53,Nenhuma,0.8
